title,questionType,difficulty,subjectId,text,gradeLevel,option1,option1Correct,option1Feedback,option2,option2Correct,option2Feedback,option3,option3Correct,option3Feedback,option4,option4Correct,option4Feedback,correctAnswer,tolerance,explanation,hint
"Integrated Science & Inquiry (Y8) Question 11",TRUE_FALSE,MEDIUM,cmesxd5h6001htxcfbvidnh6t,"This is a sample true false question for Integrated Science & Inquiry (Y8).",11,,,,,,,,,,,,,true,,"Sample explanation for Integrated Science & Inquiry (Y8).","Sample hint for Integrated Science & Inquiry (Y8)."
"Integrated Science & Inquiry (Y8) Question 12",NUMERIC,HARD,cmesxd5h6001htxcfbvidnh6t,"This is a sample numeric question for Integrated Science & Inquiry (Y8).",12,,,,,,,,,,,,,95,0.1,"Sample explanation for Integrated Science & Inquiry (Y8).","Sample hint for Integrated Science & Inquiry (Y8)."
"Integrated Science & Inquiry (Y8) Question 13",MULTIPLE_CHOICE,EASY,cmesxd5h6001htxcfbvidnh6t,"This is a sample multiple choice question for Integrated Science & Inquiry (Y8).",1,"Option A",true,"Correct!","Option B",false,"Incorrect.","Option C",false,"Not right.","Option D",false,"Wrong answer.",,,"Sample explanation for Integrated Science & Inquiry (Y8).","Sample hint for Integrated Science & Inquiry (Y8)."
"Integrated Science & Inquiry (Y8) Question 14",TRUE_FALSE,MEDIUM,cmesxd5h6001htxcfbvidnh6t,"This is a sample true false question for Integrated Science & Inquiry (Y8).",2,,,,,,,,,,,,,false,,"Sample explanation for Integrated Science & Inquiry (Y8).","Sample hint for Integrated Science & Inquiry (Y8)."
"Integrated Science & Inquiry (Y8) Question 15",NUMERIC,HARD,cmesxd5h6001htxcfbvidnh6t,"This is a sample numeric question for Integrated Science & Inquiry (Y8).",3,,,,,,,,,,,,,24,0.1,"Sample explanation for Integrated Science & Inquiry (Y8).","Sample hint for Integrated Science & Inquiry (Y8)."
"Integrated Science & Inquiry (Y8) Question 16",MULTIPLE_CHOICE,EASY,cmesxd5h6001htxcfbvidnh6t,"This is a sample multiple choice question for Integrated Science & Inquiry (Y8).",4,"Option A",true,"Correct!","Option B",false,"Incorrect.","Option C",false,"Not right.","Option D",false,"Wrong answer.",,,"Sample explanation for Integrated Science & Inquiry (Y8).","Sample hint for Integrated Science & Inquiry (Y8)."
"Integrated Science & Inquiry (Y8) Question 17",TRUE_FALSE,MEDIUM,cmesxd5h6001htxcfbvidnh6t,"This is a sample true false question for Integrated Science & Inquiry (Y8).",5,,,,,,,,,,,,,true,,"Sample explanation for Integrated Science & Inquiry (Y8).","Sample hint for Integrated Science & Inquiry (Y8)."
"Integrated Science & Inquiry (Y8) Question 18",NUMERIC,HARD,cmesxd5h6001htxcfbvidnh6t,"This is a sample numeric question for Integrated Science & Inquiry (Y8).",6,,,,,,,,,,,,,58,0.1,"Sample explanation for Integrated Science & Inquiry (Y8).","Sample hint for Integrated Science & Inquiry (Y8)."
"Integrated Science & Inquiry (Y8) Question 19",MULTIPLE_CHOICE,EASY,cmesxd5h6001htxcfbvidnh6t,"This is a sample multiple choice question for Integrated Science & Inquiry (Y8).",7,"Option A",true,"Correct!","Option B",false,"Incorrect.","Option C",false,"Not right.","Option D",false,"Wrong answer.",,,"Sample explanation for Integrated Science & Inquiry (Y8).","Sample hint for Integrated Science & Inquiry (Y8)."
"Integrated Science & Inquiry (Y8) Question 20",TRUE_FALSE,MEDIUM,cmesxd5h6001htxcfbvidnh6t,"This is a sample true false question for Integrated Science & Inquiry (Y8).",8,,,,,,,,,,,,,false,,"Sample explanation for Integrated Science & Inquiry (Y8).","Sample hint for Integrated Science & Inquiry (Y8)."
"Integrated Science & Inquiry (Y8) Question 21",NUMERIC,HARD,cmesxd5h6001htxcfbvidnh6t,"This is a sample numeric question for Integrated Science & Inquiry (Y8).",9,,,,,,,,,,,,,24,0.1,"Sample explanation for Integrated Science & Inquiry (Y8).","Sample hint for Integrated Science & Inquiry (Y8)."
"Integrated Science & Inquiry (Y8) Question 22",MULTIPLE_CHOICE,EASY,cmesxd5h6001htxcfbvidnh6t,"This is a sample multiple choice question for Integrated Science & Inquiry (Y8).",10,"Option A",true,"Correct!","Option B",false,"Incorrect.","Option C",false,"Not right.","Option D",false,"Wrong answer.",,,"Sample explanation for Integrated Science & Inquiry (Y8).","Sample hint for Integrated Science & Inquiry (Y8)."
"Integrated Science & Inquiry (Y8) Question 23",TRUE_FALSE,MEDIUM,cmesxd5h6001htxcfbvidnh6t,"This is a sample true false question for Integrated Science & Inquiry (Y8).",11,,,,,,,,,,,,,true,,"Sample explanation for Integrated Science & Inquiry (Y8).","Sample hint for Integrated Science & Inquiry (Y8)."
"Integrated Science & Inquiry (Y8) Question 24",NUMERIC,HARD,cmesxd5h6001htxcfbvidnh6t,"This is a sample numeric question for Integrated Science & Inquiry (Y8).",12,,,,,,,,,,,,,21,0.1,"Sample explanation for Integrated Science & Inquiry (Y8).","Sample hint for Integrated Science & Inquiry (Y8)."
"Integrated Science & Inquiry (Y8) Question 25",MULTIPLE_CHOICE,EASY,cmesxd5h6001htxcfbvidnh6t,"This is a sample multiple choice question for Integrated Science & Inquiry (Y8).",1,"Option A",true,"Correct!","Option B",false,"Incorrect.","Option C",false,"Not right.","Option D",false,"Wrong answer.",,,"Sample explanation for Integrated Science & Inquiry (Y8).","Sample hint for Integrated Science & Inquiry (Y8)."
"Integrated Science & Inquiry (Y8) Question 26",TRUE_FALSE,MEDIUM,cmesxd5h6001htxcfbvidnh6t,"This is a sample true false question for Integrated Science & Inquiry (Y8).",2,,,,,,,,,,,,,false,,"Sample explanation for Integrated Science & Inquiry (Y8).","Sample hint for Integrated Science & Inquiry (Y8)."
"Integrated Science & Inquiry (Y8) Question 27",NUMERIC,HARD,cmesxd5h6001htxcfbvidnh6t,"This is a sample numeric question for Integrated Science & Inquiry (Y8).",3,,,,,,,,,,,,,22,0.1,"Sample explanation for Integrated Science & Inquiry (Y8).","Sample hint for Integrated Science & Inquiry (Y8)."
"Integrated Science & Inquiry (Y8) Question 28",MULTIPLE_CHOICE,EASY,cmesxd5h6001htxcfbvidnh6t,"This is a sample multiple choice question for Integrated Science & Inquiry (Y8).",4,"Option A",true,"Correct!","Option B",false,"Incorrect.","Option C",false,"Not right.","Option D",false,"Wrong answer.",,,"Sample explanation for Integrated Science & Inquiry (Y8).","Sample hint for Integrated Science & Inquiry (Y8)."
"Integrated Science & Inquiry (Y8) Question 29",TRUE_FALSE,MEDIUM,cmesxd5h6001htxcfbvidnh6t,"This is a sample true false question for Integrated Science & Inquiry (Y8).",5,,,,,,,,,,,,,true,,"Sample explanation for Integrated Science & Inquiry (Y8).","Sample hint for Integrated Science & Inquiry (Y8)."
"Integrated Science & Inquiry (Y8) Question 30",NUMERIC,HARD,cmesxd5h6001htxcfbvidnh6t,"This is a sample numeric question for Integrated Science & Inquiry (Y8).",6,,,,,,,,,,,,,53,0.1,"Sample explanation for Integrated Science & Inquiry (Y8).","Sample hint for Integrated Science & Inquiry (Y8)."
"Integrated Science & Inquiry (Y8) Question 31",MULTIPLE_CHOICE,EASY,cmesxd5h6001htxcfbvidnh6t,"This is a sample multiple choice question for Integrated Science & Inquiry (Y8).",7,"Option A",true,"Correct!","Option B",false,"Incorrect.","Option C",false,"Not right.","Option D",false,"Wrong answer.",,,"Sample explanation for Integrated Science & Inquiry (Y8).","Sample hint for Integrated Science & Inquiry (Y8)."
"Integrated Science & Inquiry (Y8) Question 32",TRUE_FALSE,MEDIUM,cmesxd5h6001htxcfbvidnh6t,"This is a sample true false question for Integrated Science & Inquiry (Y8).",8,,,,,,,,,,,,,false,,"Sample explanation for Integrated Science & Inquiry (Y8).","Sample hint for Integrated Science & Inquiry (Y8)."
"Integrated Science & Inquiry (Y8) Question 33",NUMERIC,HARD,cmesxd5h6001htxcfbvidnh6t,"This is a sample numeric question for Integrated Science & Inquiry (Y8).",9,,,,,,,,,,,,,52,0.1,"Sample explanation for Integrated Science & Inquiry (Y8).","Sample hint for Integrated Science & Inquiry (Y8)."
"Integrated Science & Inquiry (Y8) Question 34",MULTIPLE_CHOICE,EASY,cmesxd5h6001htxcfbvidnh6t,"This is a sample multiple choice question for Integrated Science & Inquiry (Y8).",10,"Option A",true,"Correct!","Option B",false,"Incorrect.","Option C",false,"Not right.","Option D",false,"Wrong answer.",,,"Sample explanation for Integrated Science & Inquiry (Y8).","Sample hint for Integrated Science & Inquiry (Y8)."
"Integrated Science & Inquiry (Y8) Question 35",TRUE_FALSE,MEDIUM,cmesxd5h6001htxcfbvidnh6t,"This is a sample true false question for Integrated Science & Inquiry (Y8).",11,,,,,,,,,,,,,true,,"Sample explanation for Integrated Science & Inquiry (Y8).","Sample hint for Integrated Science & Inquiry (Y8)."
"Integrated Science & Inquiry (Y8) Question 36",NUMERIC,HARD,cmesxd5h6001htxcfbvidnh6t,"This is a sample numeric question for Integrated Science & Inquiry (Y8).",12,,,,,,,,,,,,,87,0.1,"Sample explanation for Integrated Science & Inquiry (Y8).","Sample hint for Integrated Science & Inquiry (Y8)."
"Integrated Science & Inquiry (Y8) Question 37",MULTIPLE_CHOICE,EASY,cmesxd5h6001htxcfbvidnh6t,"This is a sample multiple choice question for Integrated Science & Inquiry (Y8).",1,"Option A",true,"Correct!","Option B",false,"Incorrect.","Option C",false,"Not right.","Option D",false,"Wrong answer.",,,"Sample explanation for Integrated Science & Inquiry (Y8).","Sample hint for Integrated Science & Inquiry (Y8)."
"Integrated Science & Inquiry (Y8) Question 38",TRUE_FALSE,MEDIUM,cmesxd5h6001htxcfbvidnh6t,"This is a sample true false question for Integrated Science & Inquiry (Y8).",2,,,,,,,,,,,,,false,,"Sample explanation for Integrated Science & Inquiry (Y8).","Sample hint for Integrated Science & Inquiry (Y8)."
"Integrated Science & Inquiry (Y8) Question 39",NUMERIC,HARD,cmesxd5h6001htxcfbvidnh6t,"This is a sample numeric question for Integrated Science & Inquiry (Y8).",3,,,,,,,,,,,,,79,0.1,"Sample explanation for Integrated Science & Inquiry (Y8).","Sample hint for Integrated Science & Inquiry (Y8)."
"Integrated Science & Inquiry (Y8) Question 40",MULTIPLE_CHOICE,EASY,cmesxd5h6001htxcfbvidnh6t,"This is a sample multiple choice question for Integrated Science & Inquiry (Y8).",4,"Option A",true,"Correct!","Option B",false,"Incorrect.","Option C",false,"Not right.","Option D",false,"Wrong answer.",,,"Sample explanation for Integrated Science & Inquiry (Y8).","Sample hint for Integrated Science & Inquiry (Y8)."
"Integrated Science & Inquiry (Y8) Question 41",TRUE_FALSE,MEDIUM,cmesxd5h6001htxcfbvidnh6t,"This is a sample true false question for Integrated Science & Inquiry (Y8).",5,,,,,,,,,,,,,true,,"Sample explanation for Integrated Science & Inquiry (Y8).","Sample hint for Integrated Science & Inquiry (Y8)."
"Integrated Science & Inquiry (Y8) Question 42",NUMERIC,HARD,cmesxd5h6001htxcfbvidnh6t,"This is a sample numeric question for Integrated Science & Inquiry (Y8).",6,,,,,,,,,,,,,35,0.1,"Sample explanation for Integrated Science & Inquiry (Y8).","Sample hint for Integrated Science & Inquiry (Y8)."
"Integrated Science & Inquiry (Y8) Question 43",MULTIPLE_CHOICE,EASY,cmesxd5h6001htxcfbvidnh6t,"This is a sample multiple choice question for Integrated Science & Inquiry (Y8).",7,"Option A",true,"Correct!","Option B",false,"Incorrect.","Option C",false,"Not right.","Option D",false,"Wrong answer.",,,"Sample explanation for Integrated Science & Inquiry (Y8).","Sample hint for Integrated Science & Inquiry (Y8)."
"Integrated Science & Inquiry (Y8) Question 44",TRUE_FALSE,MEDIUM,cmesxd5h6001htxcfbvidnh6t,"This is a sample true false question for Integrated Science & Inquiry (Y8).",8,,,,,,,,,,,,,false,,"Sample explanation for Integrated Science & Inquiry (Y8).","Sample hint for Integrated Science & Inquiry (Y8)."
"Integrated Science & Inquiry (Y8) Question 45",NUMERIC,HARD,cmesxd5h6001htxcfbvidnh6t,"This is a sample numeric question for Integrated Science & Inquiry (Y8).",9,,,,,,,,,,,,,91,0.1,"Sample explanation for Integrated Science & Inquiry (Y8).","Sample hint for Integrated Science & Inquiry (Y8)."
"Integrated Science & Inquiry (Y8) Question 46",MULTIPLE_CHOICE,EASY,cmesxd5h6001htxcfbvidnh6t,"This is a sample multiple choice question for Integrated Science & Inquiry (Y8).",10,"Option A",true,"Correct!","Option B",false,"Incorrect.","Option C",false,"Not right.","Option D",false,"Wrong answer.",,,"Sample explanation for Integrated Science & Inquiry (Y8).","Sample hint for Integrated Science & Inquiry (Y8)."
"Integrated Science & Inquiry (Y8) Question 47",TRUE_FALSE,MEDIUM,cmesxd5h6001htxcfbvidnh6t,"This is a sample true false question for Integrated Science & Inquiry (Y8).",11,,,,,,,,,,,,,true,,"Sample explanation for Integrated Science & Inquiry (Y8).","Sample hint for Integrated Science & Inquiry (Y8)."
"Integrated Science & Inquiry (Y8) Question 48",NUMERIC,HARD,cmesxd5h6001htxcfbvidnh6t,"This is a sample numeric question for Integrated Science & Inquiry (Y8).",12,,,,,,,,,,,,,38,0.1,"Sample explanation for Integrated Science & Inquiry (Y8).","Sample hint for Integrated Science & Inquiry (Y8)."
"Integrated Science & Inquiry (Y8) Question 49",MULTIPLE_CHOICE,EASY,cmesxd5h6001htxcfbvidnh6t,"This is a sample multiple choice question for Integrated Science & Inquiry (Y8).",1,"Option A",true,"Correct!","Option B",false,"Incorrect.","Option C",false,"Not right.","Option D",false,"Wrong answer.",,,"Sample explanation for Integrated Science & Inquiry (Y8).","Sample hint for Integrated Science & Inquiry (Y8)."
"Integrated Science & Inquiry (Y8) Question 50",TRUE_FALSE,MEDIUM,cmesxd5h6001htxcfbvidnh6t,"This is a sample true false question for Integrated Science & Inquiry (Y8).",2,,,,,,,,,,,,,false,,"Sample explanation for Integrated Science & Inquiry (Y8).","Sample hint for Integrated Science & Inquiry (Y8)."
"Integrated Science & Inquiry (Y8) Question 51",NUMERIC,HARD,cmesxd5h6001htxcfbvidnh6t,"This is a sample numeric question for Integrated Science & Inquiry (Y8).",3,,,,,,,,,,,,,23,0.1,"Sample explanation for Integrated Science & Inquiry (Y8).","Sample hint for Integrated Science & Inquiry (Y8)."
"Integrated Science & Inquiry (Y8) Question 52",MULTIPLE_CHOICE,EASY,cmesxd5h6001htxcfbvidnh6t,"This is a sample multiple choice question for Integrated Science & Inquiry (Y8).",4,"Option A",true,"Correct!","Option B",false,"Incorrect.","Option C",false,"Not right.","Option D",false,"Wrong answer.",,,"Sample explanation for Integrated Science & Inquiry (Y8).","Sample hint for Integrated Science & Inquiry (Y8)."
"Integrated Science & Inquiry (Y8) Question 53",TRUE_FALSE,MEDIUM,cmesxd5h6001htxcfbvidnh6t,"This is a sample true false question for Integrated Science & Inquiry (Y8).",5,,,,,,,,,,,,,true,,"Sample explanation for Integrated Science & Inquiry (Y8).","Sample hint for Integrated Science & Inquiry (Y8)."
"Integrated Science & Inquiry (Y8) Question 54",NUMERIC,HARD,cmesxd5h6001htxcfbvidnh6t,"This is a sample numeric question for Integrated Science & Inquiry (Y8).",6,,,,,,,,,,,,,63,0.1,"Sample explanation for Integrated Science & Inquiry (Y8).","Sample hint for Integrated Science & Inquiry (Y8)."
"Integrated Science & Inquiry (Y8) Question 55",MULTIPLE_CHOICE,EASY,cmesxd5h6001htxcfbvidnh6t,"This is a sample multiple choice question for Integrated Science & Inquiry (Y8).",7,"Option A",true,"Correct!","Option B",false,"Incorrect.","Option C",false,"Not right.","Option D",false,"Wrong answer.",,,"Sample explanation for Integrated Science & Inquiry (Y8).","Sample hint for Integrated Science & Inquiry (Y8)."
"Integrated Science & Inquiry (Y8) Question 56",TRUE_FALSE,MEDIUM,cmesxd5h6001htxcfbvidnh6t,"This is a sample true false question for Integrated Science & Inquiry (Y8).",8,,,,,,,,,,,,,false,,"Sample explanation for Integrated Science & Inquiry (Y8).","Sample hint for Integrated Science & Inquiry (Y8)."
"Integrated Science & Inquiry (Y8) Question 57",NUMERIC,HARD,cmesxd5h6001htxcfbvidnh6t,"This is a sample numeric question for Integrated Science & Inquiry (Y8).",9,,,,,,,,,,,,,96,0.1,"Sample explanation for Integrated Science & Inquiry (Y8).","Sample hint for Integrated Science & Inquiry (Y8)."
"Integrated Science & Inquiry (Y8) Question 58",MULTIPLE_CHOICE,EASY,cmesxd5h6001htxcfbvidnh6t,"This is a sample multiple choice question for Integrated Science & Inquiry (Y8).",10,"Option A",true,"Correct!","Option B",false,"Incorrect.","Option C",false,"Not right.","Option D",false,"Wrong answer.",,,"Sample explanation for Integrated Science & Inquiry (Y8).","Sample hint for Integrated Science & Inquiry (Y8)."
"Integrated Science & Inquiry (Y8) Question 59",TRUE_FALSE,MEDIUM,cmesxd5h6001htxcfbvidnh6t,"This is a sample true false question for Integrated Science & Inquiry (Y8).",11,,,,,,,,,,,,,true,,"Sample explanation for Integrated Science & Inquiry (Y8).","Sample hint for Integrated Science & Inquiry (Y8)."
"Integrated Science & Inquiry (Y8) Question 60",NUMERIC,HARD,cmesxd5h6001htxcfbvidnh6t,"This is a sample numeric question for Integrated Science & Inquiry (Y8).",12,,,,,,,,,,,,,83,0.1,"Sample explanation for Integrated Science & Inquiry (Y8).","Sample hint for Integrated Science & Inquiry (Y8)."
"Integrated Science & Inquiry (Y8) Question 61",MULTIPLE_CHOICE,EASY,cmesxd5h6001htxcfbvidnh6t,"This is a sample multiple choice question for Integrated Science & Inquiry (Y8).",1,"Option A",true,"Correct!","Option B",false,"Incorrect.","Option C",false,"Not right.","Option D",false,"Wrong answer.",,,"Sample explanation for Integrated Science & Inquiry (Y8).","Sample hint for Integrated Science & Inquiry (Y8)."
"Integrated Science & Inquiry (Y8) Question 62",TRUE_FALSE,MEDIUM,cmesxd5h6001htxcfbvidnh6t,"This is a sample true false question for Integrated Science & Inquiry (Y8).",2,,,,,,,,,,,,,false,,"Sample explanation for Integrated Science & Inquiry (Y8).","Sample hint for Integrated Science & Inquiry (Y8)."
"Integrated Science & Inquiry (Y8) Question 63",NUMERIC,HARD,cmesxd5h6001htxcfbvidnh6t,"This is a sample numeric question for Integrated Science & Inquiry (Y8).",3,,,,,,,,,,,,,88,0.1,"Sample explanation for Integrated Science & Inquiry (Y8).","Sample hint for Integrated Science & Inquiry (Y8)."
"Integrated Science & Inquiry (Y8) Question 64",MULTIPLE_CHOICE,EASY,cmesxd5h6001htxcfbvidnh6t,"This is a sample multiple choice question for Integrated Science & Inquiry (Y8).",4,"Option A",true,"Correct!","Option B",false,"Incorrect.","Option C",false,"Not right.","Option D",false,"Wrong answer.",,,"Sample explanation for Integrated Science & Inquiry (Y8).","Sample hint for Integrated Science & Inquiry (Y8)."
"Integrated Science & Inquiry (Y8) Question 65",TRUE_FALSE,MEDIUM,cmesxd5h6001htxcfbvidnh6t,"This is a sample true false question for Integrated Science & Inquiry (Y8).",5,,,,,,,,,,,,,true,,"Sample explanation for Integrated Science & Inquiry (Y8).","Sample hint for Integrated Science & Inquiry (Y8)."
"Integrated Science & Inquiry (Y8) Question 66",NUMERIC,HARD,cmesxd5h6001htxcfbvidnh6t,"This is a sample numeric question for Integrated Science & Inquiry (Y8).",6,,,,,,,,,,,,,64,0.1,"Sample explanation for Integrated Science & Inquiry (Y8).","Sample hint for Integrated Science & Inquiry (Y8)."
"Integrated Science & Inquiry (Y8) Question 67",MULTIPLE_CHOICE,EASY,cmesxd5h6001htxcfbvidnh6t,"This is a sample multiple choice question for Integrated Science & Inquiry (Y8).",7,"Option A",true,"Correct!","Option B",false,"Incorrect.","Option C",false,"Not right.","Option D",false,"Wrong answer.",,,"Sample explanation for Integrated Science & Inquiry (Y8).","Sample hint for Integrated Science & Inquiry (Y8)."
"Integrated Science & Inquiry (Y8) Question 68",TRUE_FALSE,MEDIUM,cmesxd5h6001htxcfbvidnh6t,"This is a sample true false question for Integrated Science & Inquiry (Y8).",8,,,,,,,,,,,,,false,,"Sample explanation for Integrated Science & Inquiry (Y8).","Sample hint for Integrated Science & Inquiry (Y8)."
"Integrated Science & Inquiry (Y8) Question 69",NUMERIC,HARD,cmesxd5h6001htxcfbvidnh6t,"This is a sample numeric question for Integrated Science & Inquiry (Y8).",9,,,,,,,,,,,,,77,0.1,"Sample explanation for Integrated Science & Inquiry (Y8).","Sample hint for Integrated Science & Inquiry (Y8)."
"Integrated Science & Inquiry (Y8) Question 70",MULTIPLE_CHOICE,EASY,cmesxd5h6001htxcfbvidnh6t,"This is a sample multiple choice question for Integrated Science & Inquiry (Y8).",10,"Option A",true,"Correct!","Option B",false,"Incorrect.","Option C",false,"Not right.","Option D",false,"Wrong answer.",,,"Sample explanation for Integrated Science & Inquiry (Y8).","Sample hint for Integrated Science & Inquiry (Y8)."
"Integrated Science & Inquiry (Y8) Question 71",TRUE_FALSE,MEDIUM,cmesxd5h6001htxcfbvidnh6t,"This is a sample true false question for Integrated Science & Inquiry (Y8).",11,,,,,,,,,,,,,true,,"Sample explanation for Integrated Science & Inquiry (Y8).","Sample hint for Integrated Science & Inquiry (Y8)."
"Integrated Science & Inquiry (Y8) Question 72",NUMERIC,HARD,cmesxd5h6001htxcfbvidnh6t,"This is a sample numeric question for Integrated Science & Inquiry (Y8).",12,,,,,,,,,,,,,59,0.1,"Sample explanation for Integrated Science & Inquiry (Y8).","Sample hint for Integrated Science & Inquiry (Y8)."
"Integrated Science & Inquiry (Y8) Question 73",MULTIPLE_CHOICE,EASY,cmesxd5h6001htxcfbvidnh6t,"This is a sample multiple choice question for Integrated Science & Inquiry (Y8).",1,"Option A",true,"Correct!","Option B",false,"Incorrect.","Option C",false,"Not right.","Option D",false,"Wrong answer.",,,"Sample explanation for Integrated Science & Inquiry (Y8).","Sample hint for Integrated Science & Inquiry (Y8)."
"Integrated Science & Inquiry (Y8) Question 74",TRUE_FALSE,MEDIUM,cmesxd5h6001htxcfbvidnh6t,"This is a sample true false question for Integrated Science & Inquiry (Y8).",2,,,,,,,,,,,,,false,,"Sample explanation for Integrated Science & Inquiry (Y8).","Sample hint for Integrated Science & Inquiry (Y8)."
"Integrated Science & Inquiry (Y8) Question 75",NUMERIC,HARD,cmesxd5h6001htxcfbvidnh6t,"This is a sample numeric question for Integrated Science & Inquiry (Y8).",3,,,,,,,,,,,,,59,0.1,"Sample explanation for Integrated Science & Inquiry (Y8).","Sample hint for Integrated Science & Inquiry (Y8)."
"Integrated Science & Inquiry (Y8) Question 76",MULTIPLE_CHOICE,EASY,cmesxd5h6001htxcfbvidnh6t,"This is a sample multiple choice question for Integrated Science & Inquiry (Y8).",4,"Option A",true,"Correct!","Option B",false,"Incorrect.","Option C",false,"Not right.","Option D",false,"Wrong answer.",,,"Sample explanation for Integrated Science & Inquiry (Y8).","Sample hint for Integrated Science & Inquiry (Y8)."
"Integrated Science & Inquiry (Y8) Question 77",TRUE_FALSE,MEDIUM,cmesxd5h6001htxcfbvidnh6t,"This is a sample true false question for Integrated Science & Inquiry (Y8).",5,,,,,,,,,,,,,true,,"Sample explanation for Integrated Science & Inquiry (Y8).","Sample hint for Integrated Science & Inquiry (Y8)."
"Integrated Science & Inquiry (Y8) Question 78",NUMERIC,HARD,cmesxd5h6001htxcfbvidnh6t,"This is a sample numeric question for Integrated Science & Inquiry (Y8).",6,,,,,,,,,,,,,90,0.1,"Sample explanation for Integrated Science & Inquiry (Y8).","Sample hint for Integrated Science & Inquiry (Y8)."
"Integrated Science & Inquiry (Y8) Question 79",MULTIPLE_CHOICE,EASY,cmesxd5h6001htxcfbvidnh6t,"This is a sample multiple choice question for Integrated Science & Inquiry (Y8).",7,"Option A",true,"Correct!","Option B",false,"Incorrect.","Option C",false,"Not right.","Option D",false,"Wrong answer.",,,"Sample explanation for Integrated Science & Inquiry (Y8).","Sample hint for Integrated Science & Inquiry (Y8)."
"Integrated Science & Inquiry (Y8) Question 80",TRUE_FALSE,MEDIUM,cmesxd5h6001htxcfbvidnh6t,"This is a sample true false question for Integrated Science & Inquiry (Y8).",8,,,,,,,,,,,,,false,,"Sample explanation for Integrated Science & Inquiry (Y8).","Sample hint for Integrated Science & Inquiry (Y8)."
